"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that product '5G Network - Voice' exists, and verify product details","659","API-Verify5GNetworkVoice","edge","Tue Dec 24 09:36:50 GMT 2024","passed","Tue Dec 24 09:36:51 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","7106","API-iPhone7ToConsumerB2C","edge","Tue Dec 24 09:36:24 GMT 2024","passed","Tue Dec 24 09:36:31 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","5221","API-add10PercentDiscount6MonthsToResidential","edge","Tue Dec 24 09:36:37 GMT 2024","passed","Tue Dec 24 09:36:42 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","2472","API-Verify10Times10GBNational150kr","edge","Tue Dec 24 09:36:47 GMT 2024","passed","Tue Dec 24 09:36:50 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","632","API-Verify5GNetworkISP","edge","Tue Dec 24 09:36:50 GMT 2024","passed","Tue Dec 24 09:36:50 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Order product '5G Network - Voice' through business account with B2B product price list.","4955","API-A5GNetworkVoiceToBusiness","edge","Tue Dec 24 09:36:42 GMT 2024","passed","Tue Dec 24 09:36:47 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add product 'Apple iPhone 8' to business account with B2B product price list","5871","API-iPhone8ToBusinessB2B","edge","Tue Dec 24 09:36:31 GMT 2024","passed","Tue Dec 24 09:36:37 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
