"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","5681","API-add10PercentDiscount6MonthsToResidential","edge","Thu Dec 26 09:36:48 GMT 2024","passed","Thu Dec 26 09:36:54 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","804","API-Verify5GNetworkISP","edge","Thu Dec 26 09:37:03 GMT 2024","passed","Thu Dec 26 09:37:04 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - Voice' exists, and verify product details","824","API-Verify5GNetworkVoice","edge","Thu Dec 26 09:37:04 GMT 2024","passed","Thu Dec 26 09:37:04 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add product 'Apple iPhone 8' to business account with B2B product price list","7918","API-iPhone8ToBusinessB2B","edge","Thu Dec 26 09:36:40 GMT 2024","passed","Thu Dec 26 09:36:48 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","3221","API-Verify10Times10GBNational150kr","edge","Thu Dec 26 09:37:00 GMT 2024","passed","Thu Dec 26 09:37:03 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Order product '5G Network - Voice' through business account with B2B product price list.","5712","API-A5GNetworkVoiceToBusiness","edge","Thu Dec 26 09:36:54 GMT 2024","passed","Thu Dec 26 09:37:00 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","8990","API-iPhone7ToConsumerB2C","edge","Thu Dec 26 09:36:31 GMT 2024","passed","Thu Dec 26 09:36:40 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
