"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","2044","API-Verify10Times10GBNational150kr","edge","Thu Dec 05 09:40:06 GMT 2024","passed","Thu Dec 05 09:40:08 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","35208","API-iPhone7ToConsumerB2C","edge","Thu Dec 05 09:39:16 GMT 2024","passed","Thu Dec 05 09:39:51 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","528","API-Verify5GNetworkISP","edge","Thu Dec 05 09:40:08 GMT 2024","passed","Thu Dec 05 09:40:08 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - Voice' exists, and verify product details","616","API-Verify5GNetworkVoice","edge","Thu Dec 05 09:40:08 GMT 2024","passed","Thu Dec 05 09:40:09 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","4130","API-add10PercentDiscount6MonthsToResidential","edge","Thu Dec 05 09:39:57 GMT 2024","passed","Thu Dec 05 09:40:01 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add product 'Apple iPhone 8' to business account with B2B product price list","5602","API-iPhone8ToBusinessB2B","edge","Thu Dec 05 09:39:51 GMT 2024","passed","Thu Dec 05 09:39:57 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Order product '5G Network - Voice' through business account with B2B product price list.","4724","API-A5GNetworkVoiceToBusiness","edge","Thu Dec 05 09:40:01 GMT 2024","passed","Thu Dec 05 09:40:06 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
