"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Add product 'Apple iPhone 8' to business account with B2B product price list","5582","API-iPhone8ToBusinessB2B","edge","Wed Dec 18 09:38:12 GMT 2024","passed","Wed Dec 18 09:38:17 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","7760","API-iPhone7ToConsumerB2C","edge","Wed Dec 18 09:38:04 GMT 2024","passed","Wed Dec 18 09:38:12 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","2118","API-Verify10Times10GBNational150kr","edge","Wed Dec 18 09:38:27 GMT 2024","passed","Wed Dec 18 09:38:30 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - Voice' exists, and verify product details","561","API-Verify5GNetworkVoice","edge","Wed Dec 18 09:38:30 GMT 2024","passed","Wed Dec 18 09:38:31 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","530","API-Verify5GNetworkISP","edge","Wed Dec 18 09:38:30 GMT 2024","passed","Wed Dec 18 09:38:30 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Order product '5G Network - Voice' through business account with B2B product price list.","5143","API-A5GNetworkVoiceToBusiness","edge","Wed Dec 18 09:38:22 GMT 2024","passed","Wed Dec 18 09:38:27 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","4962","API-add10PercentDiscount6MonthsToResidential","edge","Wed Dec 18 09:38:17 GMT 2024","passed","Wed Dec 18 09:38:22 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
