"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Order product '5G Network - Voice' through business account with B2B product price list.","4550","API-A5GNetworkVoiceToBusiness","edge","Mon Nov 04 09:39:34 GMT 2024","passed","Mon Nov 04 09:39:38 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - Voice' exists, and verify product details","535","API-Verify5GNetworkVoice","edge","Mon Nov 04 09:39:41 GMT 2024","passed","Mon Nov 04 09:39:42 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","4663","API-add10PercentDiscount6MonthsToResidential","edge","Mon Nov 04 09:39:29 GMT 2024","passed","Mon Nov 04 09:39:34 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","45561","API-iPhone7ToConsumerB2C","edge","Mon Nov 04 09:38:38 GMT 2024","passed","Mon Nov 04 09:39:23 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","920","API-Verify5GNetworkISP","edge","Mon Nov 04 09:39:40 GMT 2024","passed","Mon Nov 04 09:39:41 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add product 'Apple iPhone 8' to business account with B2B product price list","5885","API-iPhone8ToBusinessB2B","edge","Mon Nov 04 09:39:23 GMT 2024","passed","Mon Nov 04 09:39:29 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","2120","API-Verify10Times10GBNational150kr","edge","Mon Nov 04 09:39:38 GMT 2024","passed","Mon Nov 04 09:39:40 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
