"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Order product '5G Network - Voice' through business account with B2B product price list.","6547","API-A5GNetworkVoiceToBusiness","edge","Mon Dec 02 09:05:51 GMT 2024","passed","Mon Dec 02 09:05:57 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add product 'Apple iPhone 8' to business account with B2B product price list","8246","API-iPhone8ToBusinessB2B","edge","Mon Dec 02 09:05:36 GMT 2024","passed","Mon Dec 02 09:05:44 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","9440","API-iPhone7ToConsumerB2C","edge","Mon Dec 02 09:05:26 GMT 2024","passed","Mon Dec 02 09:05:36 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","3465","API-Verify10Times10GBNational150kr","edge","Mon Dec 02 09:05:57 GMT 2024","passed","Mon Dec 02 09:06:01 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","6673","API-add10PercentDiscount6MonthsToResidential","edge","Mon Dec 02 09:05:44 GMT 2024","passed","Mon Dec 02 09:05:51 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - Voice' exists, and verify product details","944","API-Verify5GNetworkVoice","edge","Mon Dec 02 09:06:02 GMT 2024","passed","Mon Dec 02 09:06:03 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","907","API-Verify5GNetworkISP","edge","Mon Dec 02 09:06:01 GMT 2024","passed","Mon Dec 02 09:06:02 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
