"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that product '5G Network - ISP' exists, and verify product details","824","API-Verify5GNetworkISP","edge","Tue Dec 17 09:40:55 GMT 2024","passed","Tue Dec 17 09:40:56 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","14376","API-iPhone7ToConsumerB2C","edge","Tue Dec 17 09:40:19 GMT 2024","passed","Tue Dec 17 09:40:33 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - Voice' exists, and verify product details","806","API-Verify5GNetworkVoice","edge","Tue Dec 17 09:40:56 GMT 2024","passed","Tue Dec 17 09:40:57 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add product 'Apple iPhone 8' to business account with B2B product price list","7144","API-iPhone8ToBusinessB2B","edge","Tue Dec 17 09:40:33 GMT 2024","passed","Tue Dec 17 09:40:40 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","6251","API-add10PercentDiscount6MonthsToResidential","edge","Tue Dec 17 09:40:40 GMT 2024","passed","Tue Dec 17 09:40:46 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Order product '5G Network - Voice' through business account with B2B product price list.","6048","API-A5GNetworkVoiceToBusiness","edge","Tue Dec 17 09:40:46 GMT 2024","passed","Tue Dec 17 09:40:52 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","3007","API-Verify10Times10GBNational150kr","edge","Tue Dec 17 09:40:52 GMT 2024","passed","Tue Dec 17 09:40:55 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
