"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Add product 'Apple iPhone 8' to business account with B2B product price list","6448","API-iPhone8ToBusinessB2B","edge","Wed Oct 30 09:38:46 GMT 2024","passed","Wed Oct 30 09:38:52 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","2584","API-Verify10Times10GBNational150kr","edge","Wed Oct 30 09:39:03 GMT 2024","passed","Wed Oct 30 09:39:06 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - Voice' exists, and verify product details","696","API-Verify5GNetworkVoice","edge","Wed Oct 30 09:39:06 GMT 2024","passed","Wed Oct 30 09:39:07 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Order product '5G Network - Voice' through business account with B2B product price list.","5354","API-A5GNetworkVoiceToBusiness","edge","Wed Oct 30 09:38:58 GMT 2024","passed","Wed Oct 30 09:39:03 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","5513","API-add10PercentDiscount6MonthsToResidential","edge","Wed Oct 30 09:38:52 GMT 2024","passed","Wed Oct 30 09:38:58 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","52299","API-iPhone7ToConsumerB2C","edge","Wed Oct 30 09:37:54 GMT 2024","passed","Wed Oct 30 09:38:46 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","703","API-Verify5GNetworkISP","edge","Wed Oct 30 09:39:06 GMT 2024","passed","Wed Oct 30 09:39:06 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
