"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that product '5G Network - Voice' exists, and verify product details","557","API-Verify5GNetworkVoice","edge","Wed Nov 06 09:39:27 GMT 2024","passed","Wed Nov 06 09:39:27 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","4599","API-add10PercentDiscount6MonthsToResidential","edge","Wed Nov 06 09:39:15 GMT 2024","passed","Wed Nov 06 09:39:19 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add product 'Apple iPhone 8' to business account with B2B product price list","5703","API-iPhone8ToBusinessB2B","edge","Wed Nov 06 09:39:09 GMT 2024","passed","Wed Nov 06 09:39:15 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Order product '5G Network - Voice' through business account with B2B product price list.","4815","API-A5GNetworkVoiceToBusiness","edge","Wed Nov 06 09:39:19 GMT 2024","passed","Wed Nov 06 09:39:24 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","14750","API-iPhone7ToConsumerB2C","edge","Wed Nov 06 09:38:54 GMT 2024","passed","Wed Nov 06 09:39:09 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","2119","API-Verify10Times10GBNational150kr","edge","Wed Nov 06 09:39:24 GMT 2024","passed","Wed Nov 06 09:39:26 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","560","API-Verify5GNetworkISP","edge","Wed Nov 06 09:39:26 GMT 2024","passed","Wed Nov 06 09:39:27 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
