"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","50957","API-iPhone7ToConsumerB2C","edge","Tue Nov 12 09:37:22 GMT 2024","passed","Tue Nov 12 09:38:13 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - Voice' exists, and verify product details","639","API-Verify5GNetworkVoice","edge","Tue Nov 12 09:38:33 GMT 2024","passed","Tue Nov 12 09:38:33 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add product 'Apple iPhone 8' to business account with B2B product price list","6046","API-iPhone8ToBusinessB2B","edge","Tue Nov 12 09:38:13 GMT 2024","passed","Tue Nov 12 09:38:19 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","2415","API-Verify10Times10GBNational150kr","edge","Tue Nov 12 09:38:30 GMT 2024","passed","Tue Nov 12 09:38:32 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","654","API-Verify5GNetworkISP","edge","Tue Nov 12 09:38:32 GMT 2024","passed","Tue Nov 12 09:38:33 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","5156","API-add10PercentDiscount6MonthsToResidential","edge","Tue Nov 12 09:38:19 GMT 2024","passed","Tue Nov 12 09:38:24 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Order product '5G Network - Voice' through business account with B2B product price list.","5577","API-A5GNetworkVoiceToBusiness","edge","Tue Nov 12 09:38:24 GMT 2024","passed","Tue Nov 12 09:38:30 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
