"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Add product 'Apple iPhone 8' to business account with B2B product price list","5857","API-iPhone8ToBusinessB2B","edge","Fri Nov 08 09:37:12 GMT 2024","passed","Fri Nov 08 09:37:18 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","2419","API-Verify10Times10GBNational150kr","edge","Fri Nov 08 09:37:33 GMT 2024","passed","Fri Nov 08 09:37:35 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - Voice' exists, and verify product details","968","API-Verify5GNetworkVoice","edge","Fri Nov 08 09:37:36 GMT 2024","passed","Fri Nov 08 09:37:37 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","669","API-Verify5GNetworkISP","edge","Fri Nov 08 09:37:35 GMT 2024","passed","Fri Nov 08 09:37:36 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","49330","API-iPhone7ToConsumerB2C","edge","Fri Nov 08 09:36:23 GMT 2024","passed","Fri Nov 08 09:37:12 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Order product '5G Network - Voice' through business account with B2B product price list.","10108","API-A5GNetworkVoiceToBusiness","edge","Fri Nov 08 09:37:23 GMT 2024","passed","Fri Nov 08 09:37:33 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","4955","API-add10PercentDiscount6MonthsToResidential","edge","Fri Nov 08 09:37:18 GMT 2024","passed","Fri Nov 08 09:37:23 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
