"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","51944","API-iPhone7ToConsumerB2C","edge","Mon Dec 09 09:40:57 GMT 2024","passed","Mon Dec 09 09:41:49 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add product 'Apple iPhone 8' to business account with B2B product price list","7821","API-iPhone8ToBusinessB2B","edge","Mon Dec 09 09:41:49 GMT 2024","passed","Mon Dec 09 09:41:57 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - Voice' exists, and verify product details","893","API-Verify5GNetworkVoice","edge","Mon Dec 09 09:42:13 GMT 2024","passed","Mon Dec 09 09:42:14 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","1111","API-Verify5GNetworkISP","edge","Mon Dec 09 09:42:12 GMT 2024","passed","Mon Dec 09 09:42:13 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Order product '5G Network - Voice' through business account with B2B product price list.","5908","API-A5GNetworkVoiceToBusiness","edge","Mon Dec 09 09:42:02 GMT 2024","passed","Mon Dec 09 09:42:08 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","3149","API-Verify10Times10GBNational150kr","edge","Mon Dec 09 09:42:08 GMT 2024","passed","Mon Dec 09 09:42:12 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","5826","API-add10PercentDiscount6MonthsToResidential","edge","Mon Dec 09 09:41:57 GMT 2024","passed","Mon Dec 09 09:42:02 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
