"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Add product 'Apple iPhone 8' to business account with B2B product price list","5963","API-iPhone8ToBusinessB2B","edge","Thu Nov 14 09:37:27 GMT 2024","passed","Thu Nov 14 09:37:33 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Order product '5G Network - Voice' through business account with B2B product price list.","4279","API-A5GNetworkVoiceToBusiness","edge","Thu Nov 14 09:37:37 GMT 2024","passed","Thu Nov 14 09:37:41 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage","4524","API-add10PercentDiscount6MonthsToResidential","edge","Thu Nov 14 09:37:33 GMT 2024","passed","Thu Nov 14 09:37:37 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"API - Add 'Apple iPhone 7' to consumer account with B2C product price list","6575","API-iPhone7ToConsumerB2C","edge","Thu Nov 14 09:37:20 GMT 2024","passed","Thu Nov 14 09:37:27 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - Voice' exists, and verify product details","573","API-Verify5GNetworkVoice","edge","Thu Nov 14 09:37:44 GMT 2024","passed","Thu Nov 14 09:37:45 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '10Times 10GB National 150kr' exists, and verify the product details and it's child products","2149","API-Verify10Times10GBNational150kr","edge","Thu Nov 14 09:37:41 GMT 2024","passed","Thu Nov 14 09:37:44 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
"Verify that product '5G Network - ISP' exists, and verify product details","540","API-Verify5GNetworkISP","edge","Thu Nov 14 09:37:44 GMT 2024","passed","Thu Nov 14 09:37:44 GMT 2024","Api Test Suite","ApiSuite.spec.js","",""
